Latitude,Longitude
37.38227426,-122.02482852
37.37910856,-122.03083428
37.37618783,-122.01695356
37.38456408,-122.02230929
37.38321,-122.03122
37.38696,-122.0298
37.37691287,-122.01854571
37.38321,-122.03122
37.38746346,-122.02662383
37.38266,-122.02073
37.38441,-122.03089
37.37740385,-122.01504767
37.38408238,-122.02855714
37.38503382,-122.02625101
37.38435,-122.019
37.38461249,-122.02394026
37.38696,-122.0298
37.38644333,-122.02738236
37.38491,-122.01875
37.38358476,-122.02049495
37.37948,-122.03203
37.38696,-122.0298
37.38416,-122.01793
37.38321,-122.03122
37.38554357,-122.02094703
37.38321,-122.03122
37.38696,-122.0298
37.37633998,-122.01689998
37.38696,-122.0298
37.37858547,-122.0161545
37.38253,-122.02925
37.38442,-122.03094
37.38256,-122.03155
37.38321,-122.03122
37.38086,-122.02959
37.38253,-122.02925
37.38503368,-122.02914085
37.38696,-122.0298
37.38696,-122.0298
37.38274193,-122.02256761
37.38321,-122.03122
37.38404714,-122.02250436
37.38433,-122.02067
37.38217224,-122.02595822
37.38696,-122.0298
37.3814545,-122.02888829
37.38253,-122.02925
37.3810468,-122.0223717
37.38321,-122.03122
37.37659,-122.01426
37.38544,-122.01977
37.38222733,-122.03216433
37.38696,-122.0298
37.38333713,-122.01993945
37.3860932,-122.02083484
37.38221297,-122.03208966
37.37639212,-122.01767214
37.3842,-122.01827
37.38696,-122.0298
37.38544,-122.01977
37.38587852,-122.02097279
37.38696,-122.0298
37.38457,-122.02005
37.3850738,-122.02785569
37.37772167,-122.01390238
37.38577071,-122.02842001
37.37854569,-122.01802215
37.38253,-122.02925
37.37906284,-122.01729858
37.38447,-122.03144
37.38567,-122.0209
37.38321,-122.03122
37.38159,-122.03186
37.38147019,-122.02893321
37.38162387,-122.02915673
37.38298048,-122.02330571
37.38696,-122.0298
37.37795142,-122.01876927
37.38397,-122.01834
37.38025666,-122.03154188
37.38641,-122.02871
37.38518,-122.03038
37.38696,-122.0298
37.38513,-122.02473
37.38696,-122.0298
37.38435,-122.019
37.38450714,-122.02802712
37.38414,-122.01978
37.38394452,-122.0209499
37.38327951,-122.022279
37.38413725,-122.02413714
37.37980625,-122.0294217
37.38049577,-122.03254238
37.38544,-122.01977
37.38641273,-122.02650277
37.38253,-122.02925
37.38513,-122.03139
37.38696,-122.0298
37.38592284,-122.02023138
37.38159,-122.03186
37.37736498,-122.01911143
37.38336287,-122.02273007
37.38518,-122.03038
37.38421215,-122.02924892
37.37929,-122.02729
37.3776,-122.0185
37.38696,-122.0298
37.38253,-122.02925
37.37962,-122.02883
37.38195,-122.03332
37.38696,-122.0298
37.38379,-122.02574
37.38518,-122.03038
37.38696,-122.0298
37.37967585,-122.03100887
37.38056,-122.02923
37.38439,-122.02461
37.38696,-122.0298
37.3846,-122.02058
37.38827,-122.03026
37.38544,-122.01977
37.38253,-122.02925
37.38321,-122.03122
37.37874605,-122.01901251
37.38253,-122.02925
37.38025997,-122.02679148
37.38529,-122.01923
37.38696,-122.0298
